game_id,turns,w_ctrld_pawn,w_ctrld_knight,w_ctrld_bishop,w_ctrld_rook,w_ctrld_queen,w_ctrld_king,w_preassure_points,w_ctrld_diagonals,w_ctrld_lines,b_ctrld_pawn,b_ctrld_knight,b_ctrld_bishop,b_ctrld_rook,b_ctrld_queen,b_ctrld_king,b_preassure_points,b_ctrld_diagonals,b_ctrld_lines,rated_cod,winner_cod,current_turn_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,moves_fen_cod
17007,66,4,0,0,0,0,0,1,0,3,6,0,12,13,0,7,8,3,2,1,0,1,21,241,836,90,608,8439
17008,30,8,4,7,5,10,1,7,4,3,11,6,4,0,8,3,9,3,0,1,1,1,355,190,784,83,308,16897
17009,18,11,8,5,3,14,4,13,3,4,10,3,8,4,10,3,9,5,3,1,1,1,31,70,743,74,261,14126
17010,36,8,5,5,10,11,2,12,3,4,9,3,0,8,0,5,8,2,3,1,1,1,354,190,784,83,308,16711
17011,82,1,0,0,0,0,5,1,0,0,4,0,0,14,0,5,4,0,2,1,0,1,31,47,442,50,104,6561
17012,102,7,0,0,7,16,6,5,2,5,4,0,0,0,0,0,1,0,0,1,0,1,19,36,288,34,608,12054
17013,51,6,0,5,12,0,6,9,2,2,8,4,0,4,17,3,9,3,4,1,0,0,355,254,854,90,383,5154
17014,30,8,6,6,6,10,2,13,4,4,8,0,6,8,11,7,9,5,5,1,1,1,31,189,658,63,608,14798
17015,82,2,0,0,9,0,4,0,0,2,7,0,0,8,0,5,4,0,3,1,0,1,19,189,658,63,608,8493
17016,44,8,11,2,13,6,5,14,1,4,8,4,4,5,4,3,8,1,1,1,0,1,310,36,429,48,608,1658
17017,54,4,6,0,0,0,2,3,0,0,5,6,4,8,0,3,6,1,1,1,0,1,121,303,444,50,171,1148
17018,53,8,3,0,13,0,2,3,0,2,4,7,0,5,0,1,2,0,1,1,1,0,355,241,915,90,57,6108
